method,dataset,r,r_u,lam,val_rmse,seconds
"Ours rank-ablation (numpy, r_u x lambda)",ml-100k,2,1,0.001,1.007,58.4
"Ours rank-ablation (numpy, r_u x lambda)",ml-100k,2,1,0.01,1.0064,58.1
"Ours rank-ablation (numpy, r_u x lambda)",ml-100k,2,2,0.001,1.0399,51.6
"Ours rank-ablation (numpy, r_u x lambda)",ml-100k,2,1,0.1,0.9807,58.5
"Ours rank-ablation (numpy, r_u x lambda)",ml-100k,2,2,0.01,1.0393,51.6
"Ours rank-ablation (numpy, r_u x lambda)",ml-100k,2,2,0.1,1.0172,52.0
"Ours rank-ablation (numpy, r_u x lambda)",ml-100k,2,5,0.001,1.0386,52.3
"Ours rank-ablation (numpy, r_u x lambda)",ml-100k,2,5,0.01,1.0378,53.3
"Ours rank-ablation (numpy, r_u x lambda)",ml-100k,2,5,0.1,1.012,52.4
"Ours rank-ablation (numpy, r_u x lambda)",ml-100k,2,10,0.001,1.043,52.8
"Ours rank-ablation (numpy, r_u x lambda)",ml-100k,2,10,0.01,1.0429,52.2
"Ours rank-ablation (numpy, r_u x lambda)",ml-100k,2,10,0.1,1.0335,52.7
"Ours rank-ablation (numpy, r_u x lambda)",ml-100k,2,20,0.001,1.0433,52.5
"Ours rank-ablation (numpy, r_u x lambda)",ml-100k,2,20,0.01,1.0432,52.9
"Ours rank-ablation (numpy, r_u x lambda)",ml-100k,2,20,0.1,1.035,52.9
"Ours rank-ablation (numpy, r_u x lambda)",ml-100k,2,50,0.001,1.0433,54.3
"Ours rank-ablation (numpy, r_u x lambda)",ml-100k,2,50,0.01,1.0432,65.5
"Ours rank-ablation (numpy, r_u x lambda)",ml-100k,2,50,0.1,1.0347,65.8
"Ours rank-ablation (numpy, r_u x lambda)",ml-1m,5,1,0.01,1.1013,611.0
"Ours rank-ablation (numpy, r_u x lambda)",ml-1m,5,1,0.001,1.1066,613.8
"Ours rank-ablation (numpy, r_u x lambda)",ml-1m,5,2,0.001,1.1102,550.1
"Ours rank-ablation (numpy, r_u x lambda)",ml-1m,5,1,0.1,0.938,604.8
"Ours rank-ablation (numpy, r_u x lambda)",ml-1m,5,2,0.01,1.1068,541.2
"Ours rank-ablation (numpy, r_u x lambda)",ml-1m,5,2,0.1,0.948,542.8
"Ours rank-ablation (numpy, r_u x lambda)",ml-1m,5,5,0.001,1.1159,491.9
"Ours rank-ablation (numpy, r_u x lambda)",ml-1m,5,5,0.01,1.115,491.2
"Ours rank-ablation (numpy, r_u x lambda)",ml-1m,5,5,0.1,0.9749,492.6
"Ours rank-ablation (numpy, r_u x lambda)",ml-1m,5,10,0.001,1.1166,497.6
"Ours rank-ablation (numpy, r_u x lambda)",ml-1m,5,10,0.01,1.116,497.0
"Ours rank-ablation (numpy, r_u x lambda)",ml-1m,5,10,0.1,0.9847,497.8
"Ours rank-ablation (numpy, r_u x lambda)",ml-1m,5,20,0.001,1.1168,502.1
"Ours rank-ablation (numpy, r_u x lambda)",ml-1m,5,20,0.01,1.1164,499.7
"Ours rank-ablation (numpy, r_u x lambda)",ml-1m,5,20,0.1,0.9919,499.5
"Ours rank-ablation (numpy, r_u x lambda)",ml-1m,5,50,0.001,1.1172,499.6
"Ours rank-ablation (numpy, r_u x lambda)",ml-1m,5,50,0.01,1.1169,502.2
"Ours rank-ablation (numpy, r_u x lambda)",ml-1m,5,50,0.1,1.0023,500.7
"Ours rank-ablation (numpy, r_u x lambda)",douban,3,1,0.01,0.9695,701.0
"Ours rank-ablation (numpy, r_u x lambda)",douban,3,1,0.001,0.9754,705.3
"Ours rank-ablation (numpy, r_u x lambda)",douban,3,2,0.001,0.9743,634.8
"Ours rank-ablation (numpy, r_u x lambda)",douban,3,1,0.1,0.8255,705.7
"Ours rank-ablation (numpy, r_u x lambda)",douban,3,2,0.01,0.9677,633.3
"Ours rank-ablation (numpy, r_u x lambda)",douban,3,2,0.1,0.8244,627.5
"Ours rank-ablation (numpy, r_u x lambda)",douban,3,5,0.001,0.9799,631.9
"Ours rank-ablation (numpy, r_u x lambda)",douban,3,5,0.01,0.977,630.6
"Ours rank-ablation (numpy, r_u x lambda)",douban,3,5,0.1,0.838,634.4
"Ours rank-ablation (numpy, r_u x lambda)",douban,3,10,0.001,0.9803,633.4
"Ours rank-ablation (numpy, r_u x lambda)",douban,3,10,0.01,0.9777,640.6
"Ours rank-ablation (numpy, r_u x lambda)",douban,3,10,0.1,0.8398,636.0
"Ours rank-ablation (numpy, r_u x lambda)",douban,3,20,0.001,0.9808,637.4
"Ours rank-ablation (numpy, r_u x lambda)",douban,3,20,0.01,0.9785,632.5
"Ours rank-ablation (numpy, r_u x lambda)",douban,3,20,0.1,0.8429,639.0
"Ours rank-ablation (numpy, r_u x lambda)",douban,3,50,0.001,0.9823,640.4
"Ours rank-ablation (numpy, r_u x lambda)",douban,3,50,0.01,0.9811,641.8
"Ours rank-ablation (numpy, r_u x lambda)",douban,3,50,0.1,0.8509,637.2
